ticker_id,ticker
951003625,1INCHUSD
950191808,AAVEUSD
951003631,ACHUSD
950185924,ADAUSD
951003643,ALCXUSD
950188293,ALGOUSD
951003649,ALICEUSD
950192671,AMPUSD
951003651,ANKRUSD
950192228,APEUSD
951003653,API3USD
951003657,ARPAUSD
951003659,ASMUSD
950190666,ATOMUSD
951003663,AUCTIONUSD
950189896,AVAXUSD
951003669,AVTUSD
950990233,AXSUSD
951003671,BADGERUSD
951003673,BALUSD
951003675,BANDUSD
950188153,BATUSD
950160803,BCHUSD
950192465,BNTUSD
951003687,BOBAUSD
951001308,BONKUSD
950160802,BTCUSD
951003689,BTRSTUSD
950990248,BTTUSD
951003691,C98USD
951003695,CGLDUSD
950192379,CHZUSD
951003697,CLVUSD
950192466,COMPUSD
951003701,COTIUSD
950191913,CROUSD
950191530,CRVUSD
951003705,CTSIUSD
951003709,CVCUSD
951003711,CVXUSD
950990217,DAIUSD
950181555,DASHUSD
951003717,DIAUSD
951003721,DNTUSD
950181551,DOGEUSD
950990210,DOTUSD
950990226,DYDXUSD
950990237,EGLDUSD
951003727,ELAUSD
950192467,ENJUSD
950990260,EOSUSD
950184636,ETCUSD
950160804,ETHUSD
951003731,FARMUSD
951003733,FETUSD
950192672,FILUSD
951003737,FISUSD
950990252,FLOWUSD
951003743,FORTHUSD
951003745,FOXUSD
950190668,FTMUSD
951003755,GHSTUSD
951003759,GLMUSD
950990278,GNOUSD
950190669,GRTUSD
951003765,GTCUSD
950990220,HBARUSD
950990273,HNTUSD
950192673,ICPUSD
950990269,ILVUSD
950990216,IMXUSD
950990232,INJUSD
951003785,IOTXUSD
951003789,JASMYUSD
951003791,JTOUSD
950990271,KAVAUSD
951003795,KRLUSD
951003797,KSMUSD
951003799,LCXUSD
950188154,LINKUSD
951003805,LPTUSD
951003807,LQTYUSD
950191531,LRCUSD
950160801,LTCUSD
951003813,MAGICUSD
950190667,MANAUSD
951003815,MASKUSD
950189895,MATICUSD
951003825,METISUSD
950192468,MKRUSD
951003827,MLNUSD
951003843,NCTUSD
950990227,NEARUSD
950990250,NEOUSD
951003847,NKNUSD
951003849,NMRUSD
950990279,OCEANUSD
951003851,OGNUSD
951003861,OXTUSD
951007840,PAXGUSD
951003865,PERPUSD
951003889,PYRUSD
950990239,QNTUSD
950990281,QTFUSD
951003899,RARIUSD
950190032,RENUSD
951003905,REQUSD
951003907,RLCUSD
950990270,ROSEUSD
950990225,RUNEUSD
950990240,SANDUSD
950990229,SEIUSD
950187162,SHIBUSD
951003919,SKLUSD
950192380,SNXUSD
950190134,SOLUSD
951003923,SPELLUSD
951003927,STORJUSD
950990247,STXUSD
950189897,SUSHIUSD
951003935,SWFTCUSD
951003939,TUSD
950990207,TIAUSD
951003947,TRACUSD
951003949,TRBUSD
951003951,TRUUSD
950990209,TRXUSD
951003953,UMAUSD
950188155,UNIUSD
950191754,USDCUSD
950990200,USDTUSD
950990231,VETUSD
950990214,WBTCUSD
950181553,XLMUSD
950990222,XMRUSD
950990284,XRDUSD
950191753,XTZUSD
951003965,XYOUSD
950191914,YFIUSD
950181635,ZECUSD
951003967,ZENUSD
951003977,ZRXUSD
951003975,ZROUSD
950990221,CBETHUSD
950990228,KASUSD
