ticker,id,insertion_timestamp
NVRO,913254697,2024-07-12 09:05:37.878147
ICCC,913253737,2024-07-12 09:05:37.878147
NEWTG,950994104,2024-07-12 09:05:37.878147
SWZ,913286777,2024-07-12 09:05:37.878147
ARVN,950080276,2024-07-12 09:05:37.878147
BLND,950185910,2024-07-12 09:05:37.878147
BLES,925204764,2024-07-12 09:05:37.878147
GLDI,913247562,2024-07-12 09:05:37.878147
GNT,913287037,2024-07-12 09:05:37.878147
AVAL,913323041,2024-07-12 09:05:37.878147
FEUS,950188226,2024-07-12 09:05:37.878147
SCCD,950190982,2024-07-12 09:05:37.878147
LCID,950173643,2024-07-12 09:05:37.878147
CETUR,950985451,2024-07-12 09:05:37.878147
FIXD,925205290,2024-07-12 09:05:37.878147
TMFC,925412942,2024-07-12 09:05:37.878147
CMC,913255100,2024-07-12 09:05:37.878147
GSLC,913247637,2024-07-12 09:05:37.878147
QCAP,950993509,2024-07-12 09:05:37.878147
RVRB,950983844,2024-07-12 09:05:37.878147
VTWO,913243413,2024-07-12 09:05:37.878147
MIRM,950131470,2024-07-12 09:05:37.878147
ICF,913243156,2024-07-12 09:05:37.878147
JHHY,950993659,2024-07-12 09:05:37.878147
MSS,950986948,2024-07-12 09:05:37.878147
UFPT,913254194,2024-07-12 09:05:37.878147
WBUY,950988558,2024-07-12 09:05:37.878147
IT,913255431,2024-07-12 09:05:37.878147
LBRT,925411121,2024-07-12 09:05:37.878147
GENM,950993930,2024-07-12 09:05:37.878147
VHC,913303870,2024-07-12 09:05:37.878147
IGSB,913243101,2024-07-12 09:05:37.878147
GROW,913254133,2024-07-12 09:05:37.878147
YBIT,950993511,2024-07-12 09:05:37.878147
BLDP,913433680,2024-07-12 09:05:37.878147
PRN,913247478,2024-07-12 09:05:37.878147
CMPOW,950178162,2024-07-12 09:05:37.878147
UAN,913254332,2024-07-12 09:05:37.878147
USAC,913254373,2024-07-12 09:05:37.878147
ALLK,950061743,2024-07-12 09:05:37.878147
VYNE,925412756,2024-07-12 09:05:37.878147
ABM,913254902,2024-07-12 09:05:37.878147
SHBI,913323370,2024-07-12 09:05:37.878147
MBI,913255514,2024-07-12 09:05:37.878147
ULST,913243563,2024-07-12 09:05:37.878147
FOX,950117422,2024-07-12 09:05:37.878147
TRIS,950190750,2024-07-12 09:05:37.878147
JDVI,950990086,2024-07-12 09:05:37.878147
NYMTI,950998769,2024-07-12 09:05:37.878147
ICFI,913256921,2024-07-12 09:05:37.878147
GCI,913254604,2024-07-12 09:05:37.878147
EMCR,950107027,2024-07-12 09:05:37.878147
CANQ,950992236,2024-07-12 09:05:37.878147
INDH,950993599,2024-07-12 09:05:37.878147
SGRP,913254187,2024-07-12 09:05:37.878147
PFFD,925379690,2024-07-12 09:05:37.878147
EAI,925353506,2024-07-12 09:05:37.878147
